Count,Filename_0_0,Filename_0_1,Time_0_0,Time_0_1
86,D:/202412051/t1\t1-00000086_0.tif,D:/202412051/t1\t1-00000086_1.tif,424.920320,424.920837
87,D:/202412051/t1\t1-00000087_0.tif,D:/202412051/t1\t1-00000087_1.tif,425.020582,425.020843
88,D:/202412051/t1\t1-00000088_0.tif,D:/202412051/t1\t1-00000088_1.tif,425.120517,425.120879
89,D:/202412051/t1\t1-00000089_0.tif,D:/202412051/t1\t1-00000089_1.tif,425.220427,425.220686
90,D:/202412051/t1\t1-00000090_0.tif,D:/202412051/t1\t1-00000090_1.tif,425.320429,425.320757
91,D:/202412051/t1\t1-00000091_0.tif,D:/202412051/t1\t1-00000091_1.tif,425.420566,425.420829
92,D:/202412051/t1\t1-00000092_0.tif,D:/202412051/t1\t1-00000092_1.tif,425.520535,425.520745
93,D:/202412051/t1\t1-00000093_0.tif,D:/202412051/t1\t1-00000093_1.tif,425.620673,425.620891
94,D:/202412051/t1\t1-00000094_0.tif,D:/202412051/t1\t1-00000094_1.tif,425.720416,425.720702
95,D:/202412051/t1\t1-00000095_0.tif,D:/202412051/t1\t1-00000095_1.tif,425.820438,425.821194
96,D:/202412051/t1\t1-00000096_0.tif,D:/202412051/t1\t1-00000096_1.tif,425.920560,425.920865
97,D:/202412051/t1\t1-00000097_0.tif,D:/202412051/t1\t1-00000097_1.tif,426.020510,426.020749
98,D:/202412051/t1\t1-00000098_0.tif,D:/202412051/t1\t1-00000098_1.tif,426.120016,426.120465
99,D:/202412051/t1\t1-00000099_0.tif,D:/202412051/t1\t1-00000099_1.tif,426.220290,426.220673
100,D:/202412051/t1\t1-00000100_0.tif,D:/202412051/t1\t1-00000100_1.tif,426.320469,426.320470
101,D:/202412051/t1\t1-00000101_0.tif,D:/202412051/t1\t1-00000101_1.tif,426.420566,426.420695
102,D:/202412051/t1\t1-00000102_0.tif,D:/202412051/t1\t1-00000102_1.tif,426.520223,426.520590
